,State,County,Date,PM2.5,CO,NO2,Ozone,SO2,total_confirmed_cases,Deaths,Recovered,Active
130,Connecticut,New Haven,Apr 17,8.600000381469727,,,0.04899999871850014,,4520,229,0,4291
131,Connecticut,New Haven,Apr 18,6.0,,,0.04399999976158142,,4743,241,0,4502
132,Connecticut,New Haven,Apr 19,11.149999618530273,,,0.05249999836087227,,4871,257,0,4614
133,Connecticut,New Haven,Apr 20,6.550000190734863,,,0.04399999976158142,,5272,301,0,4971
134,Connecticut,New Haven,Apr 21,7.650000095367432,,,0.04500000178813934,,5493,322,0,5171
135,Connecticut,New Haven,Apr 22,5.0,,,0.04399999976158142,,5811,345,0,5466
136,Connecticut,New Haven,Apr 23,9.0,,,0.03799999877810478,,6064,372,0,5692
137,Connecticut,New Haven,Apr 24,9.550000190734863,,,0.03799999877810478,,6286,396,0,5890
138,Connecticut,New Haven,Apr 25,8.850000381469727,,,0.05050000175833702,,6509,416,0,6093
139,Connecticut,New Haven,Apr 26,5.0,,,0.04699999839067459,,6715,429,0,6286
140,Connecticut,New London,Mar 23,3.700000047683716,,,0.041999999433755875,,4,0,0,0
141,Connecticut,New London,Mar 24,1.600000023841858,,,0.041999999433755875,,6,0,0,0
142,Connecticut,New London,Mar 25,5.099999904632568,,,0.04100000113248825,,9,0,0,0
143,Connecticut,New London,Mar 26,6.699999809265137,,,0.04399999976158142,,13,0,0,0
144,Connecticut,New London,Mar 27,6.199999809265137,,,0.04699999839067459,,15,0,0,0
145,Connecticut,New London,Mar 28,5.300000190734863,,,0.04600000008940697,,19,0,0,0
146,Connecticut,New London,Mar 29,2.700000047683716,,,0.04600000008940697,,20,0,0,0
147,Connecticut,New London,Mar 30,2.0999999046325684,,,0.04100000113248825,,24,0,0,0
148,Connecticut,New London,Mar 31,5.0,,,0.04399999976158142,,27,1,0,0
149,Connecticut,New London,Apr 1,5.0,,,0.0430000014603138,,29,1,0,0
150,Connecticut,New London,Apr 2,2.0999999046325684,,,0.03999999910593033,,29,1,0,0
151,Connecticut,New London,Apr 3,0.5,,,0.03999999910593033,,40,3,0,0
152,Connecticut,New London,Apr 4,6.900000095367432,,,0.04100000113248825,,57,3,0,0
153,Connecticut,New London,Apr 5,7.599999904632568,,,0.035999998450279236,,57,4,0,0
154,Connecticut,New London,Apr 6,6.5,,,0.0430000014603138,,65,4,0,0
155,Connecticut,New London,Apr 7,4.400000095367432,,,0.05000000074505806,,85,4,0,0
156,Connecticut,New London,Apr 8,7.400000095367432,,,0.04100000113248825,,85,4,0,0
157,Connecticut,New London,Apr 9,6.400000095367432,,,,,139,6,0,0
158,Connecticut,New London,Apr 10,2.299999952316284,,,0.03799999877810478,,156,7,0,0
159,Connecticut,New London,Apr 11,3.200000047683716,,,0.041999999433755875,,185,7,0,0
160,Connecticut,New London,Apr 12,8.5,,,0.05000000074505806,,190,7,0,183
161,Connecticut,New London,Apr 13,15.699999809265137,,,0.04899999871850014,,222,7,0,215
162,Connecticut,New London,Apr 14,4.5,,,0.04500000178813934,,227,7,0,220
163,Connecticut,New London,Apr 15,5.900000095367432,,,,,236,7,0,229
164,Connecticut,New London,Apr 16,5.599999904632568,,,,,255,9,0,246
165,Connecticut,New London,Apr 17,7.300000190734863,,,0.05000000074505806,,292,10,0,282
166,Connecticut,New London,Apr 18,4.199999809265137,,,0.04899999871850014,,315,10,0,305
167,Connecticut,New London,Apr 19,9.399999618530273,,,0.05299999937415123,,339,10,0,329
