,State,County,PM2.5,Date,total_confirmed_cases,Deaths,Recovered,Active
190,Maine,Cumberland,5.0,Apr 2,204,5,0,0
191,Maine,Cumberland,6.0,Apr 3,222,5,0,0
192,Maine,Cumberland,6.9,Apr 4,231,5,0,0
193,Maine,Cumberland,9.8,Apr 5,238,5,0,0
194,Maine,Cumberland,6.5,Apr 6,249,5,0,0
195,Maine,Cumberland,9.2,Apr 7,253,9,0,0
196,Maine,Cumberland,8.7,Apr 8,262,10,0,0
197,Maine,Cumberland,7.5,Apr 9,269,11,0,0
198,Maine,Hancock,2.1,Mar 23,0,0,0,0
199,Maine,Hancock,1.1,Mar 24,0,0,0,0
200,Maine,Hancock,2.8,Mar 25,0,0,0,0
201,Maine,Hancock,2.2,Mar 26,0,0,0,0
202,Maine,Hancock,2.0,Mar 27,0,0,0,0
203,Maine,Hancock,1.4,Mar 28,0,0,0,0
204,Maine,Hancock,2.0,Mar 29,0,0,0,0
205,Maine,Hancock,1.5,Mar 30,0,0,0,0
206,Maine,Hancock,1.8,Mar 31,0,0,0,0
207,Maine,Hancock,0.1,Apr 1,0,0,0,0
208,Maine,Hancock,0.5,Apr 2,2,0,0,0
209,Maine,Hancock,2.7,Apr 3,2,0,0,0
210,Maine,Hancock,3.0,Apr 4,2,0,0,0
211,Maine,Hancock,3.3,Apr 5,2,0,0,0
212,Maine,Hancock,0.7,Apr 6,2,0,0,0
213,Maine,Hancock,0.6,Apr 7,2,0,0,0
214,Maine,Hancock,0.6,Apr 8,3,0,0,0
215,Maine,Hancock,1.1,Apr 9,3,0,0,0
216,Maine,Oxford,4.4,Mar 23,5,0,0,0
217,Maine,Oxford,5.5,Mar 24,6,0,0,0
218,Maine,Oxford,7.3,Mar 25,6,0,0,0
219,Maine,Oxford,7.8,Mar 26,8,0,0,0
220,Maine,Oxford,3.8,Mar 27,8,0,0,0
221,Maine,Oxford,5.7,Mar 28,8,0,0,0
222,Maine,Oxford,5.2,Mar 29,9,0,0,0
223,Maine,Oxford,4.6,Mar 30,9,0,0,0
224,Maine,Oxford,4.7,Mar 31,9,0,0,0
225,Maine,Oxford,3.7,Apr 1,9,0,0,0
226,Maine,Oxford,1.0,Apr 2,9,0,0,0
227,Maine,Oxford,2.2,Apr 3,10,0,0,0
