"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/30/2020","AQS","230050029","1","31.8","ppb","29","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/31/2020","AQS","230050029","1","38.4","ppb","36","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/01/2020","AQS","230050029","1","31.4","ppb","29","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/02/2020","AQS","230050029","1","28","ppb","26","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/03/2020","AQS","230050029","1","28.8","ppb","26","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/04/2020","AQS","230050029","1","31.3","ppb","29","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/05/2020","AQS","230050029","1","24.3","ppb","23","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/06/2020","AQS","230050029","1","12.7","ppb","11","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/07/2020","AQS","230050029","1","11.4","ppb","10","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"02/08/2020","AQS","230050029","1","22.2","ppb","21","PDO - Portland Deering Oaks","24","100.0000","42602","Nitrogen dioxide (NO2)","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
